Province,Cases
BAS UELE,55.62242267
EQUATEUR,185.1280746
HAUT KATANGA,97.8817082
HAUT LOMAMI,83.06677017
ITURI,99.44043777
KASAI,46.27672695
KASAI CENTRAL,75.99383493
KASAI ORIENTAL,107.8824121
KINSHASA,92.13838105
KONGO CENTRAL,36.88027536
KWANGO,105.9390244
KWILU,153.6758169
LOMAMI,139.6458623
LUALABA,18.9171364
MAI NDOMBE,60.53467554
MANIEMA,140.69818
MONGALA,166.6904988
NORD KIVU,47.92747312
NORD UBANGI,68.07063923
ORIENTAL,141.2424796
SANKURU,111.4484104
SUD KIVU,101.2723741
SUD UBANGI,144.6621802
TANGANIKA,191.2716652
TSHOPO,75.5903834
TSHUAPA,37.25763187
